id,value,category
1,10,B
2,20,A
3,30,B
4,40,A
5,50,B
6,60,A
7,70,B
8,80,A
9,90,B
10,100,A
11,110,B
12,120,A
13,130,B
14,140,A
15,150,B
16,160,A
17,170,B
18,180,A
19,190,B
20,200,A
21,210,B
22,220,A
23,230,B
24,240,A
25,250,B
26,260,A
27,270,B
28,280,A
29,290,B
30,300,A
31,310,B
32,320,A
33,330,B
34,340,A
35,350,B
36,360,A
37,370,B
38,380,A
39,390,B
40,400,A
41,410,B
42,420,A
43,430,B
44,440,A
45,450,B
46,460,A
47,470,B
48,480,A
49,490,B
50,500,A
51,510,B
52,520,A
53,530,B
54,540,A
55,550,B
56,560,A
57,570,B
58,580,A
59,590,B
60,600,A
61,610,B
62,620,A
63,630,B
64,640,A
65,650,B
66,660,A
67,670,B
68,680,A
69,690,B
70,700,A
71,710,B
72,720,A
73,730,B
74,740,A
75,750,B
76,760,A
77,770,B
78,780,A
79,790,B
80,800,A
81,810,B
82,820,A
83,830,B
84,840,A
85,850,B
86,860,A
87,870,B
88,880,A
89,890,B
90,900,A
91,910,B
92,920,A
93,930,B
94,940,A
95,950,B
96,960,A
97,970,B
98,980,A
99,990,B
100,1000,A
101,1010,B
102,1020,A
103,1030,B
104,1040,A
105,1050,B
106,1060,A
107,1070,B
108,1080,A
109,1090,B
110,1100,A
111,1110,B
112,1120,A
113,1130,B
114,1140,A
115,1150,B
116,1160,A
117,1170,B
118,1180,A
119,1190,B
120,1200,A
121,1210,B
122,1220,A
123,1230,B
124,1240,A
125,1250,B
126,1260,A
127,1270,B
128,1280,A
129,1290,B
130,1300,A
131,1310,B
132,1320,A
133,1330,B
134,1340,A
135,1350,B
136,1360,A
137,1370,B
138,1380,A
139,1390,B
140,1400,A
141,1410,B
142,1420,A
143,1430,B
144,1440,A
145,1450,B
146,1460,A
147,1470,B
148,1480,A
149,1490,B
150,1500,A
151,1510,B
152,1520,A
153,1530,B
154,1540,A
155,1550,B
156,1560,A
157,1570,B
158,1580,A
159,1590,B
160,1600,A
161,1610,B
162,1620,A
163,1630,B
164,1640,A
165,1650,B
166,1660,A
167,1670,B
168,1680,A
169,1690,B
170,1700,A
171,1710,B
172,1720,A
173,1730,B
174,1740,A
175,1750,B
176,1760,A
177,1770,B
178,1780,A
179,1790,B
180,1800,A
181,1810,B
182,1820,A
183,1830,B
184,1840,A
185,1850,B
186,1860,A
187,1870,B
188,1880,A
189,1890,B
190,1900,A
191,1910,B
192,1920,A
193,1930,B
194,1940,A
195,1950,B
196,1960,A
197,1970,B
198,1980,A
199,1990,B
200,2000,A
201,2010,B
202,2020,A
203,2030,B
204,2040,A
205,2050,B
206,2060,A
207,2070,B
208,2080,A
209,2090,B
210,2100,A
211,2110,B
212,2120,A
213,2130,B
214,2140,A
215,2150,B
216,2160,A
217,2170,B
218,2180,A
219,2190,B
220,2200,A
221,2210,B
222,2220,A
223,2230,B
224,2240,A
225,2250,B
226,2260,A
227,2270,B
228,2280,A
229,2290,B
230,2300,A
231,2310,B
232,2320,A
233,2330,B
234,2340,A
235,2350,B
236,2360,A
237,2370,B
238,2380,A
239,2390,B
240,2400,A
241,2410,B
242,2420,A
243,2430,B
244,2440,A
245,2450,B
246,2460,A
247,2470,B
248,2480,A
249,2490,B
250,2500,A
251,2510,B
252,2520,A
253,2530,B
254,2540,A
255,2550,B
256,2560,A
257,2570,B
258,2580,A
259,2590,B
260,2600,A
261,2610,B
262,2620,A
263,2630,B
264,2640,A
265,2650,B
266,2660,A
267,2670,B
268,2680,A
269,2690,B
270,2700,A
271,2710,B
272,2720,A
273,2730,B
274,2740,A
275,2750,B
276,2760,A
277,2770,B
278,2780,A
279,2790,B
280,2800,A
281,2810,B
282,2820,A
283,2830,B
284,2840,A
285,2850,B
286,2860,A
287,2870,B
288,2880,A
289,2890,B
290,2900,A
291,2910,B
292,2920,A
293,2930,B
294,2940,A
295,2950,B
296,2960,A
297,2970,B
298,2980,A
299,2990,B
300,3000,A
301,3010,B
302,3020,A
303,3030,B
304,3040,A
305,3050,B
306,3060,A
307,3070,B
308,3080,A
309,3090,B
310,3100,A
311,3110,B
312,3120,A
313,3130,B
314,3140,A
315,3150,B
316,3160,A
317,3170,B
318,3180,A
319,3190,B
320,3200,A
321,3210,B
322,3220,A
323,3230,B
324,3240,A
325,3250,B
326,3260,A
327,3270,B
328,3280,A
329,3290,B
330,3300,A
331,3310,B
332,3320,A
333,3330,B
334,3340,A
335,3350,B
336,3360,A
337,3370,B
338,3380,A
339,3390,B
340,3400,A
341,3410,B
342,3420,A
343,3430,B
344,3440,A
345,3450,B
346,3460,A
347,3470,B
348,3480,A
349,3490,B
350,3500,A
351,3510,B
352,3520,A
353,3530,B
354,3540,A
355,3550,B
356,3560,A
357,3570,B
358,3580,A
359,3590,B
360,3600,A
361,3610,B
362,3620,A
363,3630,B
364,3640,A
365,3650,B
366,3660,A
367,3670,B
368,3680,A
369,3690,B
370,3700,A
371,3710,B
372,3720,A
373,3730,B
374,3740,A
375,3750,B
376,3760,A
377,3770,B
378,3780,A
379,3790,B
380,3800,A
381,3810,B
382,3820,A
383,3830,B
384,3840,A
385,3850,B
386,3860,A
387,3870,B
388,3880,A
389,3890,B
390,3900,A
391,3910,B
392,3920,A
393,3930,B
394,3940,A
395,3950,B
396,3960,A
397,3970,B
398,3980,A
399,3990,B
400,4000,A
401,4010,B
402,4020,A
403,4030,B
404,4040,A
405,4050,B
406,4060,A
407,4070,B
408,4080,A
409,4090,B
410,4100,A
411,4110,B
412,4120,A
413,4130,B
414,4140,A
415,4150,B
416,4160,A
417,4170,B
418,4180,A
419,4190,B
420,4200,A
421,4210,B
422,4220,A
423,4230,B
424,4240,A
425,4250,B
426,4260,A
427,4270,B
428,4280,A
429,4290,B
430,4300,A
431,4310,B
432,4320,A
433,4330,B
434,4340,A
435,4350,B
436,4360,A
437,4370,B
438,4380,A
439,4390,B
440,4400,A
441,4410,B
442,4420,A
443,4430,B
444,4440,A
445,4450,B
446,4460,A
447,4470,B
448,4480,A
449,4490,B
450,4500,A
451,4510,B
452,4520,A
453,4530,B
454,4540,A
455,4550,B
456,4560,A
457,4570,B
458,4580,A
459,4590,B
460,4600,A
461,4610,B
462,4620,A
463,4630,B
464,4640,A
465,4650,B
466,4660,A
467,4670,B
468,4680,A
469,4690,B
470,4700,A
471,4710,B
472,4720,A
473,4730,B
474,4740,A
475,4750,B
476,4760,A
477,4770,B
478,4780,A
479,4790,B
480,4800,A
481,4810,B
482,4820,A
483,4830,B
484,4840,A
485,4850,B
486,4860,A
487,4870,B
488,4880,A
489,4890,B
490,4900,A
491,4910,B
492,4920,A
493,4930,B
494,4940,A
495,4950,B
496,4960,A
497,4970,B
498,4980,A
499,4990,B
500,5000,A
501,5010,B
502,5020,A
503,5030,B
504,5040,A
505,5050,B
506,5060,A
507,5070,B
508,5080,A
509,5090,B
510,5100,A
511,5110,B
512,5120,A
513,5130,B
514,5140,A
515,5150,B
516,5160,A
517,5170,B
518,5180,A
519,5190,B
520,5200,A
521,5210,B
522,5220,A
523,5230,B
524,5240,A
525,5250,B
526,5260,A
527,5270,B
528,5280,A
529,5290,B
530,5300,A
531,5310,B
532,5320,A
533,5330,B
534,5340,A
535,5350,B
536,5360,A
537,5370,B
538,5380,A
539,5390,B
540,5400,A
541,5410,B
542,5420,A
543,5430,B
544,5440,A
545,5450,B
546,5460,A
547,5470,B
548,5480,A
549,5490,B
550,5500,A
551,5510,B
552,5520,A
553,5530,B
554,5540,A
555,5550,B
556,5560,A
557,5570,B
558,5580,A
559,5590,B
560,5600,A
561,5610,B
562,5620,A
563,5630,B
564,5640,A
565,5650,B
566,5660,A
567,5670,B
568,5680,A
569,5690,B
570,5700,A
571,5710,B
572,5720,A
573,5730,B
574,5740,A
575,5750,B
576,5760,A
577,5770,B
578,5780,A
579,5790,B
580,5800,A
581,5810,B
582,5820,A
583,5830,B
584,5840,A
585,5850,B
586,5860,A
587,5870,B
588,5880,A
589,5890,B
590,5900,A
591,5910,B
592,5920,A
593,5930,B
594,5940,A
595,5950,B
596,5960,A
597,5970,B
598,5980,A
599,5990,B
600,6000,A
601,6010,B
602,6020,A
603,6030,B
604,6040,A
605,6050,B
606,6060,A
607,6070,B
608,6080,A
609,6090,B
610,6100,A
611,6110,B
612,6120,A
613,6130,B
614,6140,A
615,6150,B
616,6160,A
617,6170,B
618,6180,A
619,6190,B
620,6200,A
621,6210,B
622,6220,A
623,6230,B
624,6240,A
625,6250,B
626,6260,A
627,6270,B
628,6280,A
629,6290,B
630,6300,A
631,6310,B
632,6320,A
633,6330,B
634,6340,A
635,6350,B
636,6360,A
637,6370,B
638,6380,A
639,6390,B
640,6400,A
641,6410,B
642,6420,A
643,6430,B
644,6440,A
645,6450,B
646,6460,A
647,6470,B
648,6480,A
649,6490,B
650,6500,A
651,6510,B
652,6520,A
653,6530,B
654,6540,A
655,6550,B
656,6560,A
657,6570,B
658,6580,A
659,6590,B
660,6600,A
661,6610,B
662,6620,A
663,6630,B
664,6640,A
665,6650,B
666,6660,A
667,6670,B
668,6680,A
669,6690,B
670,6700,A
671,6710,B
672,6720,A
673,6730,B
674,6740,A
675,6750,B
676,6760,A
677,6770,B
678,6780,A
679,6790,B
680,6800,A
681,6810,B
682,6820,A
683,6830,B
684,6840,A
685,6850,B
686,6860,A
687,6870,B
688,6880,A
689,6890,B
690,6900,A
691,6910,B
692,6920,A
693,6930,B
694,6940,A
695,6950,B
696,6960,A
697,6970,B
698,6980,A
699,6990,B
700,7000,A
701,7010,B
702,7020,A
703,7030,B
704,7040,A
705,7050,B
706,7060,A
707,7070,B
708,7080,A
709,7090,B
710,7100,A
711,7110,B
712,7120,A
713,7130,B
714,7140,A
715,7150,B
716,7160,A
717,7170,B
718,7180,A
719,7190,B
720,7200,A
721,7210,B
722,7220,A
723,7230,B
724,7240,A
725,7250,B
726,7260,A
727,7270,B
728,7280,A
729,7290,B
730,7300,A
731,7310,B
732,7320,A
733,7330,B
734,7340,A
735,7350,B
736,7360,A
737,7370,B
738,7380,A
739,7390,B
740,7400,A
741,7410,B
742,7420,A
743,7430,B
744,7440,A
745,7450,B
